NomProduit,Descriptions,Categories,DateAjout,PrixUnitaire,Quantite,IdFournisseurs
Saucisse de Montbéliard,Nan,Charcuterie,2022-11-28 05:07:38,1900.0,1,
Terrine de lapin,Nan,Charcuterie,2022-09-14 05:35:14,1600.0,1,
Rillettes de truite,Nan,Charcuterie,2022-01-09 15:03:30,1500.0,1,
Boudin noir,Nan,Charcuterie,2022-12-29 21:52:34,1500.0,1,
Terrine de biche,Nan,Charcuterie,2022-04-13 01:46:29,1700.0,1,
Rillettes d'oie,Nan,Charcuterie,2022-06-01 09:53:41,1500.0,1,
Crème réparatrice pour les mains Neutrogena,Nan,Produits de soin pour les mains,2022-12-19 21:04:50,1000.0,1,
Paquet de cacahuètes,Nan,Snack,2022-11-02 23:40:36,750.0,1,
Sachet de thé Lipton,Nan,Thé,2022-06-08 20:53:57,500.0,1,
Gel nettoyant visage doux Nivea,Nan,Produits de soin pour le visage,2022-12-08 21:54:14,1800.0,1,
Pâté de lapin aux noisettes,Nan,Charcuterie,2022-01-09 03:33:38,1800.0,1,
Paquet de spaghetti,Nan,Alimentation,2022-11-30 16:03:19,750.0,1,
Paquet de lentilles,Nan,Alimentation,2022-04-12 11:42:10,750.0,1,
Boîte de mouchoirs en papier Lotus,Nan,Hygiène,2022-12-29 21:34:29,1000.0,1,
Dentifrice bio Logodent,Nan,Produits d'hygiène dentaire,2022-01-13 14:10:21,500.0,1,
Bouteille de sirop de grenadine,Nan,Boisson,2022-08-08 00:53:05,750.0,1,
Gel nettoyant visage purifiant L'Oréal,Nan,Produits de soin pour le visage,2022-10-18 11:58:56,1800.0,1,
Rosette,Nan,Charcuterie,2022-12-17 11:37:49,1800.0,1,
Soin liftant contour des yeux L'Oréal,Nan,Produits de soin pour le visage,2022-12-26 06:40:38,2500.0,1,
Sachet de sucre vanillé,Nan,Sucrerie,2022-11-26 21:16:19,500.0,1,
Rillettes de thon au piment d'Espelette,Nan,Charcuterie,2022-09-16 17:35:48,1500.0,1,
Déodorant bille fraîcheur Nivea,Nan,Produits d'hygiène,2022-03-19 13:58:09,800.0,1,
Boîte de kleenex,Nan,Hygiène,2022-07-25 05:36:28,1000.0,1,
Jambon des Ardennes,Nan,Charcuterie,2022-04-02 01:06:03,2000.0,1,
Gel nettoyant visage doux Nivea,Nan,Produits de soin pour le visage,2022-01-19 17:58:43,1800.0,1,
Boîte de mouchoirs en papier Tempo,Nan,Hygiène,2022-10-20 11:03:34,750.0,1,
Saucisson de Lyon,Nan,Charcuterie,2022-03-22 20:40:46,1400.0,1,
Terrine de sanglier,Nan,Charcuterie,2022-10-07 23:47:07,1700.0,1,
Crème réparatrice pour les pieds Scholl,Nan,Produits de soin pour les pieds,2022-07-01 05:22:40,1500.0,1,
Déodorant spray sans gaz propulseur Nivea,Nan,Produits d'hygiène,2022-03-17 06:06:16,800.0,1,
Terrine de chevreuil,Nan,Charcuterie,2022-10-10 23:31:30,1700.0,1,
Pâté de perdreau,Nan,Charcuterie,2022-02-01 15:57:00,1800.0,1,
Shampooing anti-pelliculaire Head & Shoulders,Nan,Produits de soin capillaire,2022-04-28 08:35:03,1500.0,1,
Déodorant bille fraîcheur Nivea,Nan,Produits d'hygiène,2022-08-01 07:00:27,800.0,1,
Lingettes rafraîchissantes pour le visage Nivea,Nan,Produits de démaquillage,2022-02-12 17:14:08,800.0,1,
Bouteille de Jack Daniel,Nan,Liqueur,2022-07-24 14:52:01,5000.0,1,
Bouteille d'eau minérale Cristaline,Nan,Eau,2022-10-03 15:44:44,500.0,1,
Terrine de faisan,Nan,Charcuterie,2022-04-13 23:24:24,1700.0,1,
Pot de pâte à tartiner Nutella,Nan,Sucrerie,2022-01-23 05:10:28,2000.0,1,
Paquet de riz long grain,Nan,Alimentation,2022-01-28 10:54:42,1000.0,1,
Rillettes de saumon,Nan,Charcuterie,2022-02-08 10:10:59,1500.0,1,
Sachet de riz Mama Africa,Nan,Alimentation,2022-01-19 02:47:17,2000.0,1,
Saucisson à la truffe,Nan,Charcuterie,2022-03-26 04:39:07,1400.0,1,
Crème hydratante Nivea,Nan,Produits de soin pour le corps,2022-10-25 18:27:40,1000.0,1,
Rillettes de thon au citron,Nan,Charcuterie,2022-12-28 23:54:22,1500.0,1,
Crème solaire peaux sensibles Avène,Nan,Produits de protection solaire,2022-07-09 05:20:33,2000.0,1,
Crème réparatrice pour les mains Neutrogena,Nan,Produits de soin pour les mains,2022-07-09 18:08:43,1000.0,1,
Pâté de foie,Nan,Charcuterie,2022-09-21 20:55:35,1100.0,1,
Pâté de lièvre,Nan,Charcuterie,2022-09-13 13:04:16,1800.0,1,
Paquet de chips Tortilla,Nan,Snack,2022-05-28 07:10:52,1000.0,1,
Lotion pour le corps Dove,Nan,Produits de soin pour le corps,2022-04-21 12:05:29,1200.0,1,
Terrine de lapin,Nan,Charcuterie,2022-07-28 20:03:33,1600.0,1,
Sachet de sel iodé,Nan,Condiment,2022-04-21 16:30:03,500.0,1,
Baume hydratant pour les mains Mixa,Nan,Produits de soin pour les mains,2022-04-11 06:28:15,1000.0,1,
Baume après-rasage hydratant Nivea,Nan,Produits de rasage,2022-10-15 05:38:36,700.0,1,
Déodorant sans aluminium Nivea,Nan,Produits d'hygiène,2022-03-11 11:51:14,800.0,1,
Shampooing anti-chute Vichy,Nan,Produits de soin capillaire,2022-08-04 08:56:48,1800.0,1,
Saucisse de porc,Nan,Charcuterie,2022-04-15 03:46:17,1600.0,1,
Rillettes de canard au poivre vert,Nan,Charcuterie,2022-12-23 05:24:47,1500.0,1,
Dentifrice bio blanchissant Lavera,Nan,Produits d'hygiène dentaire,2022-04-15 06:26:14,500.0,1,
Lingettes démaquillantes réutilisables Garnier,Nan,Produits de démaquillage,2022-09-22 02:43:39,800.0,1,
Sac de riz Basmati,Nan,Alimentation,2022-01-30 14:23:01,4000.0,1,
Paquet de lentilles,Nan,Alimentation,2022-03-13 18:58:11,750.0,1,
Gel nettoyant visage La Roche-Posay,Nan,Produits de soin pour le visage,2022-08-11 05:52:46,1800.0,1,
Saucisse sèche,Nan,Charcuterie,2022-04-18 22:27:29,1700.0,1,
Déodorant Rexona,Nan,Produits d'hygiène,2022-03-25 17:27:15,800.0,1,
Démaquillant bi-phasé waterproof Nivea,Nan,Produits de démaquillage,2022-03-11 06:27:16,1200.0,1,
Pot de pâte à tartiner Nutella,Nan,Sucrerie,2022-02-11 06:44:34,2000.0,1,
Jambon des Ardennes,Nan,Charcuterie,2022-09-25 19:06:47,2000.0,1,
Lotion hydratante pour le visage Nivea,Nan,Produits de soin pour le visage,2022-09-16 05:04:52,1200.0,1,
Rillettes d'oie,Nan,Charcuterie,2022-09-08 18:49:23,1500.0,1,
Lingettes démaquillantes apaisantes Nivea,Nan,Produits de démaquillage,2022-12-01 09:31:13,800.0,1,
Crème raffermissante pour le corps Garnier,Nan,Produits de soin pour le corps,2022-07-06 04:56:36,2000.0,1,
Sac de pommes de terre,Nan,Légumes,2022-06-07 01:19:53,1000.0,1,
Saucisson à la figue,Nan,Charcuterie,2022-04-26 05:54:12,1600.0,1,
Sac de croquettes pour chien Pedigree,Nan,Animaux,2022-01-28 14:25:00,2000.0,1,
Jambon de Bayonne,Nan,Charcuterie,2022-07-16 03:26:21,1900.0,1,
Shampooing volumisant Schwarzkopf,Nan,Produits de soin capillaire,2023-06-09 08:10:06,1800.0,1,
Jambon des Ardennes,Nan,Charcuterie,2023-10-14 21:21:15,2000.0,1,
Saucisse de veau,Nan,Charcuterie,2023-06-26 14:59:29,1600.0,1,
Gel nettoyant visage purifiant Neutrogena,Nan,Produits de soin pour le visage,2023-11-05 10:08:19,1800.0,1,
Dentifrice Signal,Nan,Produits d'hygiène dentaire,2023-11-21 04:14:52,500.0,1,
Saucisse de Strasbourg,Nan,Charcuterie,2023-11-16 00:06:35,1600.0,1,
Soin hydratant matifiant Vichy,Nan,Produits de soin pour le visage,2023-07-25 16:50:59,2500.0,1,
Sachet de chips au fromage,Nan,Snack,2023-10-28 16:23:47,1000.0,1,
Jambon de Paris,Nan,Charcuterie,2023-05-23 14:59:13,1400.0,1,
Démaquillant yeux bi-phasé waterproof L'Oréal,Nan,Produits de démaquillage,2023-11-06 12:06:57,1200.0,1,
Gel douche Nivea,Nan,Produits de douche,2023-12-19 14:25:27,1200.0,1,
Sachet de popcorn,Nan,Snack,2023-12-20 08:18:26,500.0,1,
Terrine de pintade,Nan,Charcuterie,2023-05-23 19:21:10,1600.0,1,
Pot de confiture de fraises,Nan,Condiment,2023-05-29 13:50:05,1000.0,1,
Bouteille de jus de pomme,Nan,Jus,2023-08-15 15:44:44,1500.0,1,
Gel coiffant effet mouillé Schwarzkopf,Nan,Produits de coiffure,2023-07-05 23:13:15,1500.0,1,
Shampooing volumateur Timotei,Nan,Produits de soin capillaire,2023-06-30 17:53:46,1500.0,1,
Boîte de thé matcha,Nan,Thé,2023-03-04 23:28:36,1500.0,1,
Dentifrice bio blanchissant Lavera,Nan,Produits d'hygiène dentaire,2023-12-03 13:52:55,500.0,1,
Crème pour les pieds à l'urée Scholl,Nan,Produits de soin pour les pieds,2023-11-11 08:09:20,1500.0,1,
Sac de pommes de terre,Nan,Légumes,2023-06-21 20:00:02,1000.0,1,
Gel douche relaxant L'Occitane,Nan,Produits de douche,2023-07-16 06:42:21,1200.0,1,
Sachet de mélange d'épices pour tajine,Nan,Condiment,2023-07-30 23:29:13,750.0,1,
Rillettes de poisson,Nan,Charcuterie,2023-05-21 22:04:04,1300.0,1,
Bouteille d'eau minérale Cristaline,Nan,Eau,2023-03-05 00:20:22,500.0,1,
Pâté de faisan,Nan,Charcuterie,2023-12-11 17:45:36,1800.0,1,
Jambon de la Vallée d'Aoste,Nan,Charcuterie,2023-04-29 16:39:53,2000.0,1,
Sachet de feuilles de thé,Nan,Thé,2023-06-10 12:38:23,500.0,1,
Sachet de grains de café arabica,Nan,Café,2023-01-08 00:28:05,1000.0,1,
Paquet de pâtes Barilla,Nan,Alimentation,2023-03-03 03:13:35,1000.0,1,
Crème pour les pieds Scholl,Nan,Produits de soin pour les pieds,2023-09-24 07:56:29,1500.0,1,
Sachet de grains de café arabica,Nan,Café,2023-12-04 10:03:04,1000.0,1,
Poulet entier fermier,Nan,Viande,2023-05-27 10:59:54,3000.0,1,
Crème solaire peaux sensibles Avène,Nan,Produits de protection solaire,2023-07-17 23:23:17,2000.0,1,
Gel douche hydratant Dove,Nan,Produits de douche,2023-05-29 04:26:28,1200.0,1,
Saucisse de Strasbourg,Nan,Charcuterie,2023-10-10 05:44:41,1700.0,1,
Saucisson sec,Nan,Charcuterie,2023-01-16 00:56:04,1500.0,1,
Terrine de faisan,Nan,Charcuterie,2023-11-04 02:32:28,1700.0,1,
Crème raffermissante pour le corps Garnier,Nan,Produits de soin pour le corps,2023-05-17 02:57:53,2000.0,1,
Crème réparatrice pour les mains Neutrogena,Nan,Produits de soin pour les mains,2023-02-10 09:20:49,1000.0,1,
Crème réparatrice pour les pieds Scholl,Nan,Produits de soin pour les pieds,2023-08-18 15:42:03,1500.0,1,
Bouteille de jus d'orange Jafpp,Nan,Jus,2023-08-18 20:26:01,1500.0,1,
Pain de savon Lux,Nan,Hygiène,2023-06-18 05:01:50,500.0,1,
Sac de farine de blé,Nan,Alimentation,2023-11-23 15:15:12,1500.0,1,
Shampooing fortifiant L'Oréal,Nan,Produits de soin capillaire,2023-06-10 16:20:51,1800.0,1,
Sachet de thé Lipton,Nan,Thé,2023-11-11 14:05:32,500.0,1,
Shampooing hydratant Pantene,Nan,Produits de soin capillaire,2023-09-27 03:26:44,1500.0,1,
Barre de chocolat Milka,Nan,Chocolat,2023-06-13 20:42:22,750.0,1,
Paquet de chips Tortilla,Nan,Snack,2023-12-17 23:33:44,1000.0,1,
Rillettes de truite,Nan,Charcuterie,2023-08-08 01:09:08,1500.0,1,
Andouille,Nan,Charcuterie,2023-12-14 13:24:33,1600.0,1,
Lotion purifiante pour le visage L'Oréal,Nan,Produits de soin pour le visage,2023-11-23 10:44:50,1200.0,1,
Bouteille de jus de pomme,Nan,Jus,2023-04-27 07:07:46,1500.0,1,
Gel douche nourrissant à l'huile d'amande Neutrogena,Nan,Produits de douche,2023-07-06 14:04:15,1200.0,1,
Lingettes rafraîchissantes pour le visage Nivea,Nan,Produits de démaquillage,2023-01-28 05:13:47,800.0,1,
Déodorant roll-on sans alcool Nivea,Nan,Produits d'hygiène,2023-01-21 03:29:13,800.0,1,
Pot de pâte à tartiner Nutella,Nan,Sucrerie,2023-01-15 06:24:50,2000.0,1,
Pot de moutarde,Nan,Condiment,2023-12-26 17:38:15,500.0,1,
Crème apaisante après-soleil Nivea,Nan,Produits de protection solaire,2023-05-24 11:22:48,2000.0,1,
Shampooing hydratant Pantene,Nan,Produits de soin capillaire,2023-10-04 16:16:41,1500.0,1,
Pâté de volaille,Nan,Charcuterie,2023-07-05 10:52:55,1200.0,1,
Masque purifiant à l'argile L'Oréal,Nan,Produits de soin pour le visage,2023-10-09 13:26:18,1800.0,1,
Bouteille de jus d'orange Jafpp,Nan,Jus,2023-10-31 22:32:01,1500.0,1,
Soin anti-âge global pour le visage L'Oréal,Nan,Produits de soin pour le visage,2023-06-22 13:23:51,2500.0,1,
Rillettes de thon à l'huile d'olive,Nan,Charcuterie,2023-01-15 20:52:40,1500.0,1,
Pâté de lièvre,Nan,Charcuterie,2023-11-26 02:23:48,1800.0,1,
Démaquillant pour les yeux Nivea,Nan,Produits de démaquillage,2023-11-08 05:41:34,1200.0,1,
Sachet de lessive Skip,Nan,Hygiène,2023-03-14 15:15:27,750.0,1,
Terrine de sanglier,Nan,Charcuterie,2023-08-29 06:06:16,1700.0,1,
Bouteille de shampoing Head & Shoulders,Nan,Hygiène,2023-05-31 10:38:38,1500.0,1,
Terrine de biche,Nan,Charcuterie,2023-12-23 02:32:52,1700.0,1,
Sachet de grains de café arabica,Nan,Café,2023-08-07 04:10:36,1000.0,1,
Pâté de chevreuil,Nan,Charcuterie,2023-01-12 02:32:25,1800.0,1,
Jambon des Ardennes,Nan,Charcuterie,2023-09-20 01:50:10,2000.0,1,
Lotion pour le corps Dove,Nan,Produits de soin pour le corps,2023-10-04 10:25:01,1200.0,1,
Pâté de foie,Nan,Charcuterie,2023-11-17 18:33:19,1100.0,1,
Paquet de biscuits au chocolat,Nan,Biscuits,2023-03-13 18:07:17,1000.0,1,
Lingettes démaquillantes Nivea,Nan,Produits de démaquillage,2023-08-31 02:09:36,800.0,1,
Boîte de kleenex,Nan,Hygiène,2023-01-17 06:36:55,1000.0,1,
Gel coiffant effet mat Axe,Nan,Produits de coiffure,2023-08-26 06:08:59,1500.0,1,
Pâté de foie,Nan,Charcuterie,2023-11-23 07:12:23,1100.0,1,
Gel douche relaxant L'Occitane,Nan,Produits de douche,2023-12-11 10:29:53,1200.0,1,
Pot de miel,Nan,Condiment,2023-12-19 09:34:03,1000.0,1,
Sachet de popcorn,Nan,Snack,2023-09-22 01:01:09,500.0,1,
Gel douche exfoliant Nivea,Nan,Produits de douche,2023-07-03 10:50:59,1200.0,1,
Shampooing anti-pelliculaire Vichy,Nan,Produits de soin capillaire,2023-01-22 20:22:30,1500.0,1,
Saucisson à la truffe,Nan,Charcuterie,2023-01-04 01:27:43,1400.0,1,
Jambon de la Dombes,Nan,Charcuterie,2023-11-26 01:47:13,2000.0,1,
Pot de confiture de fraises,Nan,Condiment,2023-09-14 08:25:36,1000.0,1,
Saucisse au poivre,Nan,Charcuterie,2023-07-07 19:25:23,1600.0,1,
Jambon de Montagne Noire,Nan,Charcuterie,2023-02-08 21:41:56,2000.0,1,
Gel coiffant effet brillant Schwarzkopf,Nan,Produits de coiffure,2023-08-06 14:16:53,1500.0,1,
Baume à lèvres Labello,Nan,Produits de soin des lèvres,2023-12-18 16:07:14,700.0,1,
Jambon d'Auvergne,Nan,Charcuterie,2023-04-16 22:32:12,2000.0,1,
Rillettes de dinde,Nan,Charcuterie,2023-02-26 06:23:41,1300.0,1,
Sachet de lait en poudre Nido,Nan,Lait,2023-05-16 21:42:35,1500.0,1,
Sachet de sel iodé,Nan,Condiment,2023-02-15 06:46:29,500.0,1,
Lotion tonique adoucissante Garnier,Nan,Produits de soin pour le visage,2023-02-03 09:09:10,1200.0,1,
Déodorant roll-on sans alcool Nivea,Nan,Produits d'hygiène,2023-08-11 04:19:26,800.0,1,
Jambon du Bourbonnais,Nan,Charcuterie,2023-07-23 08:57:50,2000.0,1,
Bouteille de shampoing Head & Shoulders,Nan,Hygiène,2023-07-01 09:46:16,1500.0,1,
Shampooing volumisant Schwarzkopf,Nan,Produits de soin capillaire,2023-02-27 08:13:48,1800.0,1,
Sachet de levure chimique,Nan,Condiment,2023-01-05 16:21:15,500.0,1,
Crème anti-rides Nivea,Nan,Produits de soin pour le visage,2023-10-18 14:17:37,2500.0,1,
Saucisse de Strasbourg,Nan,Charcuterie,2023-02-01 19:43:11,1700.0,1,
Saucisse de volaille,Nan,Charcuterie,2023-01-29 13:57:15,1600.0,1,
Lotion anti-âge pour le visage L'Oréal,Nan,Produits de soin pour le visage,2023-06-08 14:21:13,1200.0,1,
Rillettes de lapin,Nan,Charcuterie,2023-07-01 21:25:17,1300.0,1,
Pot de moutarde,Nan,Condiment,2023-06-07 15:27:25,500.0,1,
Bouteille de lait frais Lactel,Nan,Lait,2023-10-19 18:49:18,1000.0,1,
Pâté de chevreuil,Nan,Charcuterie,2023-06-04 01:50:16,1800.0,1,
Crème pour les pieds à l'urée Scholl,Nan,Produits de soin pour les pieds,2023-01-21 07:27:57,1500.0,1,
Jambon des Ardennes,Nan,Charcuterie,2023-05-21 11:25:13,2000.0,1,
Spray corporel Axe,Nan,Produits de soin pour le corps,2023-06-03 02:53:22,800.0,1,
Rillettes de thon au piment d'Espelette,Nan,Charcuterie,2023-08-18 09:45:47,1500.0,1,
Crème de jour anti-rides Nivea,Nan,Produits de soin pour le visage,2023-06-11 06:48:55,1200.0,1,
Sachet de grains de café arabica,Nan,Café,2023-10-28 01:40:16,1000.0,1,
Crème de jour hydratante Nivea,Nan,Produits de soin pour le visage,2023-06-04 00:51:12,1200.0,1,
Dentifrice bio blanchissant Lavera,Nan,Produits d'hygiène dentaire,2023-02-07 06:10:47,500.0,1,
Coppa,Nan,Charcuterie,2023-05-07 19:21:55,1600.0,1,
Bouteille de jus de pomme,Nan,Jus,2023-03-22 11:37:06,1500.0,1,
Gel douche nourrissant Dove,Nan,Produits de douche,2023-01-20 20:34:43,1200.0,1,
Rillettes de thon au basilic,Nan,Charcuterie,2023-10-10 00:02:15,1500.0,1,
Pâté de marcassin,Nan,Charcuterie,2023-10-07 22:31:28,1900.0,1,
Boîte de haricots verts en conserve,Nan,Condiment,2023-10-02 06:17:02,750.0,1,
Rillettes de thon au piment d'Espelette,Nan,Charcuterie,2023-04-13 01:46:50,1500.0,1,
Pâté de lapin aux herbes de Provence,Nan,Charcuterie,2023-03-09 07:10:08,1800.0,1,
Saucisson à l'Armagnac,Nan,Charcuterie,2023-03-22 10:46:11,1400.0,1,
Sac de croquettes pour chat Whiskas,Nan,Animaux,2023-11-23 13:37:14,1500.0,1,
Paquet de biscottes,Nan,Biscuits,2023-05-22 23:06:56,750.0,1,
Dentifrice protection gencives Parodontax,Nan,Produits d'hygiène dentaire,2023-05-24 10:25:41,500.0,1,
Gel nettoyant visage purifiant L'Oréal,Nan,Produits de soin pour le visage,2023-05-21 00:20:38,1800.0,1,
Crème de nuit régénérante L'Oréal,Nan,Produits de soin pour le visage,2023-10-08 03:42:47,1200.0,1,
Crème raffermissante pour le corps Garnier,Nan,Produits de soin pour le corps,2023-11-04 07:57:44,2000.0,1,
Boîte de mouchoirs en papier Lotus,Nan,Hygiène,2023-04-06 05:32:30,1000.0,1,
Paquet de popcorn sucré,Nan,Snack,2023-06-07 08:27:33,750.0,1,
Crème de jour anti-rides Nivea,Nan,Produits de soin pour le visage,2023-02-09 00:05:58,1200.0,1,
Sachet de sucre Daddy,Nan,Sucrerie,2023-05-14 23:33:07,500.0,1,
Jambon de Bayonne,Nan,Charcuterie,2023-12-22 02:44:04,1900.0,1,
Crème pour les mains Neutrogena,Nan,Produits de soin pour les mains,2023-10-31 01:23:01,1000.0,1,
Pâté de lièvre,Nan,Charcuterie,2023-05-12 23:34:16,1800.0,1,
Pâté de marcassin,Nan,Charcuterie,2023-05-14 01:29:20,1900.0,1,
Saucisse sèche,Nan,Charcuterie,2023-04-19 13:42:41,1700.0,1,
Jambon de la Forêt de Marly,Nan,Charcuterie,2023-02-13 14:58:48,2000.0,1,
Crème solaire Nivea,Nan,Produits de protection solaire,2023-10-09 21:46:47,2000.0,1,
Saucisson de Lyon,Nan,Charcuterie,2023-02-11 17:23:39,1400.0,1,
Crème anti-rides Nivea,Nan,Produits de soin pour le visage,2023-09-10 21:01:50,2500.0,1,
Saucisson au genièvre,Nan,Charcuterie,2023-04-04 16:04:17,1400.0,1,
Sac de croquettes pour chien Pedigree,Nan,Animaux,2023-10-21 22:22:18,2000.0,1,
Crème réparatrice Cicabiafine,Nan,Produits de soin pour le corps,2023-05-01 06:26:33,1500.0,1,
Saucisson à la noisette,Nan,Charcuterie,2023-03-25 08:09:36,1700.0,1,
Baume réparateur pour les mains Biafine,Nan,Produits de soin pour les mains,2023-03-02 00:44:30,1000.0,1,
Baume hydratant pour les mains Mixa,Nan,Produits de soin pour les mains,2023-11-28 11:58:05,1000.0,1,
Pain de savon Lux,Nan,Hygiène,2023-01-25 07:16:55,500.0,1,
Déodorant sans aluminium Nivea,Nan,Produits d'hygiène,2023-04-19 03:03:57,800.0,1,
Jambon blanc,Nan,Charcuterie,2023-02-16 23:37:18,1000.0,1,
Gel douche Nivea,Nan,Produits de douche,2023-09-11 02:09:31,1200.0,1,
Pâté de porc,Nan,Charcuterie,2023-09-06 10:16:15,1200.0,1,
Saucisson à la mirabelle,Nan,Charcuterie,2023-11-13 13:14:48,1400.0,1,
Pâté de lapin aux herbes de Provence,Nan,Charcuterie,2023-06-21 15:45:04,1800.0,1,
Terrine de pintade,Nan,Charcuterie,2023-03-17 12:38:05,1600.0,1,
Saucisson à l'ail,Nan,Charcuterie,2023-10-29 10:45:09,1300.0,1,
Soin liftant contour des yeux L'Oréal,Nan,Produits de soin pour le visage,2023-08-06 21:51:03,2500.0,1,
Sachet de lessive Skip,Nan,Hygiène,2023-10-15 12:54:42,750.0,1,
Terrine de faisan,Nan,Charcuterie,2023-04-22 22:46:05,1700.0,1,
Sac de pommes de terre,Nan,Légumes,2023-12-30 09:26:40,1000.0,1,
Saucisson à l'Armagnac,Nan,Charcuterie,2023-08-10 16:59:58,1400.0,1,
Boîte de haricots verts en conserve,Nan,Condiment,2023-10-12 08:47:47,750.0,1,
Gel douche hydratant à la grenade Neutrogena,Nan,Produits de douche,2023-10-03 10:35:52,1200.0,1,
Rillettes de canard,Nan,Charcuterie,2023-08-29 05:25:47,1400.0,1,
Gel douche exfoliant Nivea,Nan,Produits de douche,2023-01-02 05:49:46,1200.0,1,
Gel nettoyant visage doux Nivea,Nan,Produits de soin pour le visage,2023-01-05 15:25:24,1800.0,1,
Bouteille d'eau minérale Cristaline,Nan,Eau,2023-06-07 06:18:57,500.0,1,
Pâté de lapin aux pistaches,Nan,Charcuterie,2023-09-10 14:16:08,1800.0,1,
Sachet de paprika,Nan,Condiment,2023-06-30 03:49:58,500.0,1,
Saucisson à la figue,Nan,Charcuterie,2023-12-15 12:51:30,1600.0,1,
Jambon de Savoie,Nan,Charcuterie,2023-11-28 01:23:14,2000.0,1,
Spray corporel rafraîchissant Axe,Nan,Produits de soin pour le corps,2023-12-07 07:38:19,800.0,1,
Saucisse de Toulouse,Nan,Charcuterie,2023-10-25 18:40:23,1600.0,1,
Boîte de céréales pour petit déjeuner,Nan,Alimentation,2023-09-14 08:51:38,1500.0,1,
Soin anti-rides contour des yeux L'Oréal,Nan,Produits de soin pour le visage,2023-03-19 13:11:40,2500.0,1,
Rillettes d'oie,Nan,Charcuterie,2023-06-15 02:28:50,1500.0,1,
Boîte de conserve de thon Petit Navire,Nan,Poisson,2023-02-19 18:32:48,1000.0,1,
Shampooing anti-pelliculaire Head & Shoulders,Nan,Produits de soin capillaire,2023-05-29 02:06:34,1500.0,1,
Jambon blanc,Nan,Charcuterie,2023-11-11 04:36:07,1000.0,1,
Terrine de pigeon,Nan,Charcuterie,2023-01-20 12:36:08,1700.0,1,
Lingettes démaquillantes réutilisables Garnier,Nan,Produits de démaquillage,2023-07-20 12:50:37,800.0,1,
Jambon de Montagne Noire,Nan,Charcuterie,2023-08-09 01:55:19,2000.0,1,
Saucisson à la figue,Nan,Charcuterie,2023-07-08 06:10:13,1600.0,1,
Sachet de sucre vanillé,Nan,Sucrerie,2023-06-20 04:36:30,500.0,1,
Gel douche hydratant à la grenade Neutrogena,Nan,Produits de douche,2023-03-02 10:05:52,1200.0,1,
Jambon d'Auvergne,Nan,Charcuterie,2023-04-04 00:51:43,2000.0,1,
Terrine de faisan aux morilles,Nan,Charcuterie,2023-09-08 14:45:42,1700.0,1,
Bouteille de sauce tomate,Nan,Condiment,2023-04-05 19:35:03,500.0,1,
Dentifrice bio blanchissant Lavera,Nan,Produits d'hygiène dentaire,2023-03-04 13:04:49,500.0,1,
Gel nettoyant visage doux Nivea,Nan,Produits de soin pour le visage,2023-12-25 16:18:43,1800.0,1,
Gel nettoyant visage purifiant Neutrogena,Nan,Produits de soin pour le visage,2023-02-09 08:13:44,1800.0,1,
Crème raffermissante pour le corps Garnier,Nan,Produits de soin pour le corps,2023-02-24 23:45:35,2000.0,1,
Saucisse de Toulouse,Nan,Charcuterie,2023-11-24 12:57:52,1600.0,1,
Crème solaire visage et corps biodégradable La Roche-Posay,Nan,Produits de protection solaire,2023-03-29 05:55:23,2000.0,1,
Sachet de sucre vanillé,Nan,Sucrerie,2023-12-17 03:14:44,500.0,1,
Paquet de café Nescafé,Nan,Café,2023-03-13 11:29:51,1500.0,1,
Baume réparateur pour les mains Biafine,Nan,Produits de soin pour les mains,2023-09-14 16:38:53,1000.0,1,
Sachet de graines de chia,Nan,Condiment,2023-12-07 02:29:00,1000.0,1,
Saucisson à l'Espelette,Nan,Charcuterie,2023-03-13 12:49:01,1400.0,1,
Terrine de gibier,Nan,Charcuterie,2023-09-01 16:26:38,1500.0,1,
Saucisse de dinde,Nan,Charcuterie,2023-10-20 22:51:23,1600.0,1,
Terrine de chevreuil,Nan,Charcuterie,2023-09-30 15:37:38,1700.0,1,
Barre de chocolat Milka,Nan,Chocolat,2023-10-30 02:40:38,750.0,1,
Saucisson à la pistache,Nan,Charcuterie,2023-12-17 15:36:02,1400.0,1,
Terrine de biche,Nan,Charcuterie,2023-01-27 06:24:56,1700.0,1,
Crème apaisante après-soleil Nivea,Nan,Produits de protection solaire,2023-04-27 01:29:07,2000.0,1,
Boîte de maïs en conserve,Nan,Condiment,2023-11-24 23:51:02,750.0,1,
Sac de croquettes pour chat Whiskas,Nan,Animaux,2023-02-02 20:12:05,1500.0,1,
Jambon du Bourbonnais,Nan,Charcuterie,2023-06-09 07:40:44,2000.0,1,
Pain de mie Jacques,Nan,Alimentation,2023-06-23 14:14:43,750.0,1,
Démaquillant Garnier,Nan,Produits de démaquillage,2023-12-30 23:49:11,1200.0,1,
Sachet de sucre Daddy,Nan,Sucrerie,2023-02-14 15:19:21,500.0,1,
Pain de savon Lux,Nan,Hygiène,2023-06-09 05:34:15,500.0,1,
Saucisson aux noisettes,Nan,Charcuterie,2023-10-24 00:55:50,1400.0,1,
Sachet de sucre vanillé,Nan,Sucrerie,2023-05-07 01:44:32,500.0,1,
Pot de sauce barbecue,Nan,Condiment,2023-11-15 07:46:50,1000.0,1,
Pot de miel,Nan,Condiment,2023-09-23 22:06:13,1000.0,1,
